,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal_docs,facing_direction,front_width,price_unit,front_width_unit,front_road_width,front_road_width_unit,balcony_direction,interior
12344,Nhà mặt tiền,49.5,600.0,m²,,,,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,12.0,tỷ,m,60.0,m,,
12345,Nhà mặt tiền,8.5,49.4,m²,,,,"Đường 2/4, Phường Vĩnh Phước, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Khác/Không rõ,,4.0,tỷ,m,,,,
12346,Nhà mặt tiền,155.0,240.0,m²,,,,"Đường Trần Quý Kiên, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12347,Nhà mặt tiền,20.0,100.0,m²,4.0,5.0,,"Phường An Phú, Quận 2, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,5.0,tỷ,m,12.0,m,,Đầy đủ
12348,Nhà mặt tiền,32.3,86.0,m²,12.0,12.0,,"Phố Nguyễn Đổng Chi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Sổ đỏ/hồng riêng,Đông,5.0,tỷ,m,15.0,m,Đông,Đầy đủ
12349,Nhà mặt tiền,95.0,220.0,m²,31.0,33.0,,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Hà Nội,Cầu Giấy,Sổ đỏ/hồng riêng,Bắc,10.0,tỷ,m,8.0,m,Bắc,Đầy đủ
12350,Nhà mặt tiền,12.5,120.0,m²,2.0,1.0,,"Đường Đặng Văn Bi, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12351,Nhà mặt tiền,79.0,226.0,m²,12.0,12.0,,"Đường Phan Xích Long, Phường 5, Phú Nhuận, Hồ Chí Minh",TP.HCM,Phú Nhuận,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12352,Nhà mặt tiền,215.0,1500.0,m²,,,,"Đường Lê Văn Việt, Phường Phước Long A, Quận 9, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12353,Nhà mặt tiền,16.0,151.88,m²,3.0,3.0,,"Đường Ngô Thì Nhậm, Phường 4, Đà Lạt, Lâm Đồng",Lâm Đồng,Đà Lạt,Sổ đỏ/hồng riêng,Tây - Bắc,8.17,tỷ,m,11.98,m,Tây - Bắc,Đầy đủ
12483,Căn hộ chung cư,4.947,68.0,m²,2.0,2.0,,"An Bình Homeland, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Sổ đỏ/hồng riêng,,,triệu/m²,,,,,Cơ bản hoàn thiện nội thất cơ bản.
12484,Căn hộ chung cư,5.0,46.0,m²,1.0,1.0,,"Dự án Lumière Orient Pearl, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Khác/Không rõ,,,tỷ,,,,,
12485,Căn hộ chung cư,1.95,58.0,m²,2.0,1.0,,"Maison Grand Phú Mỹ, Quốc Lộ 51, Phú Mỹ, Phú Mỹ, Bà Rịa Vũng Tàu",Bà Rịa Vũng Tàu,Phú Mỹ,Sổ đỏ/hồng riêng,Đông,,tỷ,,,,,Cơ bản
12486,Căn hộ chung cư,0.88,39.0,m²,1.0,1.0,,"Căn hộ Xã Hội, 743C, Tân Đông Hiệp, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Hợp đồng mua bán,Đông - Bắc,,triệu,,,,Tây,Đầy đủ
12487,Căn hộ chung cư,4.5,85.5,m²,2.0,2.0,,"Sunshine Sky City , 23, Đường Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh",TP.HCM,Quận 7,Hợp đồng mua bán,,,tỷ,,,,,"Máy lạnh âm trần, full bếp, máy hút mùi, bếp từ, máy nước nóng, thiết bị vệ sinh cao cấp,..."
12488,Căn hộ chung cư,3.0,60.0,m²,2.0,2.0,,"Dự án A&T Saigon Riverside, Phường Vĩnh Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Sổ đỏ/hồng riêng,Đông,,tỷ,,,,Đông - Nam,Cơ bản
12489,Căn hộ chung cư,15.5,141.0,m²,3.0,2.0,,"Dự án Sunshine Golden River, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Đang chờ sổ,,,tỷ,,,,Nam,
12490,Căn hộ chung cư,2.9,43.0,m²,1.0,1.0,,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Sổ đỏ/hồng riêng,Đông - Nam,,tỷ,,,,Tây - Bắc,Không nội thất
12491,Căn hộ chung cư,3.7,65.0,m²,2.0,2.0,,"Dự án Urban Green, Đường Số 6, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,,tỷ,,,,,Đầy đủ
12492,Căn hộ chung cư,5.5,82.0,m²,2.0,2.0,,"Dự án Elysian, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",TP.HCM,Thủ Đức,Hợp đồng mua bán,Tây - Bắc,,tỷ,,,,Đông - Nam,
12494,Căn hộ chung cư,7.0,106.5,m²,3.0,3.0,,"Peninsula Đà Nẵng , Lê Văn Duyệt, Nại Hiên Đông , Sơn Trà, Đà Nẵng",Đà Nẵng,Sơn Trà,Sổ đỏ/hồng riêng,,,tỷ,,,,,Đầy đủ
12495,Căn hộ chung cư,4.3,60.8,m²,2.0,,,"Dự án Lumiere SpringBay, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",Hưng Yên,Văn Giang,Hợp đồng mua bán,,,tỷ,,,,Tây - Bắc,
12496,Căn hộ chung cư,8.48,121.0,m²,3.0,2.0,,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",TP.HCM,Tân Phú,Hợp đồng mua bán,,,tỷ,,,,,
12497,Căn hộ chung cư,33.0,78.0,m²,2.0,,,"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",TP.HCM,Quận 1,Hợp đồng mua bán,,,tỷ,,,,,Full nội thất.
12498,Căn hộ chung cư,5.9,96.0,m²,2.0,2.0,,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",TP.HCM,Tân Phú,Đang chờ sổ,,,tỷ,,,,,Cơ bản
12499,Căn hộ chung cư,1.7,34.0,m²,1.0,1.0,,"Dự án A&T Saigon Riverside, Phường Vĩnh Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Hợp đồng mua bán,,,tỷ,,,,,Đầy đủ
12500,Căn hộ chung cư,2.2,28.0,m²,1.0,1.0,,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Sổ đỏ/hồng riêng,Tây - Bắc,,tỷ,,,,Đông - Nam,Đầy đủ
12502,Căn hộ chung cư,12.75,116.0,m²,3.0,,,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Khác/Không rõ,,,tỷ,,,,,
12512,Nhà riêng,4.85,40.2,m²,3.0,2.0,,"Đường Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",TP.HCM,Gò Vấp,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12513,Nhà riêng,7.2,53.1,m²,8.0,7.0,,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",TP.HCM,Quận 1,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12514,Nhà riêng,2.8,34.0,m²,3.0,1.0,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",TP.HCM,Quận 12,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12515,Nhà riêng,6.0,87.0,m²,3.0,3.0,,"Phố Đoạn Xá, Phường Đông Hải 1, Hải An, Hải Phòng",Hải Phòng,Hải An,Sổ đỏ/hồng riêng,Nam,,tỷ,,7.0,m,Nam,Đầy đủ
